iter	Passed	Remaining
0	583	583310
1	1014	505996
2	1384	459971
3	1894	471793
4	2350	467721
5	2808	465266
6	2822	400344
7	3227	400197
8	3684	405758
9	4065	402472
10	4436	398872
11	4726	389109
12	5136	389951
13	5518	388651
14	5811	381649
15	6188	380580
16	6477	374541
17	6515	355441
18	6981	360446
19	7449	365026
20	7671	357660
21	8094	359851
22	8495	360887
23	8956	364215
24	9343	364405
25	9717	364039
26	10093	363752
27	10485	364005
28	11008	368602
29	11489	371508
30	11866	370911
31	12303	372171
32	12743	373437
33	13268	376971
34	13761	379435
35	14135	378526
36	14612	380332
37	15025	380389
38	15582	383960
39	16097	386337
40	16558	387306
41	16932	386215
42	17319	385456
43	17792	386586
44	18202	386289
45	18589	385521
46	19082	386938
47	19622	389173
48	20097	390052
49	20487	389267
50	20992	390619
51	21454	391136
52	21907	391449
53	22307	390794
54	22610	388494
55	23124	389814
56	23652	391301
57	24129	391899
58	24543	391451
59	24902	390145
60	25409	391142
61	25885	391625
62	26348	391888
63	26805	392026
64	27186	391065
65	27564	390086
66	28032	390366
67	28422	389551
68	28886	389761
69	29153	387321
70	29444	385265
71	29748	383428
72	30206	383583
73	30604	382968
74	31071	383212
75	31461	382503
76	31930	382753
77	32291	381701
78	32738	381678
79	33194	381741
80	33705	382411
81	34186	382724
82	34568	381923
83	34904	380626
84	35192	378840
85	35636	378744
86	36092	378763
87	36517	378452
88	36989	378626
89	37435	378517
90	37862	378211
91	38301	378014
92	38819	378598
93	39229	378101
94	39593	377183
95	40043	377080
96	40505	377081
97	40957	376973
98	41403	376809
99	41751	375764
100	42149	375170
101	42586	374932
102	43094	375299
103	43570	375374
104	43962	374725
105	44440	374811
106	44818	374043
107	45238	373632
108	45717	373712
109	46158	373465
110	46542	372760
111	47075	373240
112	47556	373299
113	48015	373176
114	48388	372377
115	49027	373626
116	49483	373448
117	49996	373703
118	50418	373263
119	50753	372190
120	51193	371895
121	51640	371643
122	52044	371082
123	52511	370971
124	52996	370972
125	53446	370730
126	53898	370497
127	54422	370756
128	54853	370366
129	55306	370124
130	55729	369688
131	56242	369837
132	56634	369189
133	57057	368745
134	57647	369369
135	58025	368635
136	58405	367913
137	58784	367189
138	59319	367438
139	59690	366672
140	60184	366653
141	60658	366512
142	61147	366457
143	61612	366251
144	62108	366223
145	62611	366233
146	63067	365962
147	63522	365682
148	63981	365424
149	64443	365179
150	64878	364781
151	65335	364505
152	65788	364199
153	66220	363783
154	66650	363351
155	67167	363395
156	67503	362452
157	67954	362138
158	68396	361769
159	68936	361916
160	69407	361693
161	69708	360591
162	70082	359873
163	70504	359401
164	70929	358947
165	71333	358388
166	71878	358532
167	72338	358246
168	72625	357111
169	73116	356982
170	73571	356670
171	74045	356452
172	74468	355985
173	74855	355347
174	75330	355128
175	75719	354506
176	76169	354164
177	76666	354046
178	77113	353687
179	77598	353503
180	78084	353321
181	78504	352840
182	78884	352177
183	79379	352032
184	79861	351821
185	80289	351374
186	80782	351210
187	81236	350871
188	81637	350307
189	82025	349687
