iter	Logloss
0	0.6563297973
1	0.6289199619
2	0.6057236084
3	0.5844888684
4	0.567770595
5	0.5534029701
6	0.542048796
7	0.5315275723
8	0.5233499592
9	0.5158815428
10	0.5099100457
11	0.5053448367
12	0.5003870562
13	0.4965559198
14	0.4932718572
15	0.4897210249
16	0.4864534377
17	0.4834336411
18	0.4809102856
19	0.4789939421
20	0.4770739767
21	0.475172046
22	0.473740932
23	0.4724405393
24	0.4703929141
25	0.468986213
26	0.4677120044
27	0.4666332231
28	0.4658045424
29	0.4644218334
30	0.463619513
31	0.4621849403
32	0.4613654564
33	0.4605443772
34	0.4598318998
35	0.4590960559
36	0.4585272928
37	0.4574971314
38	0.4567181642
39	0.4561563161
40	0.4556250576
41	0.4549832243
42	0.4543027325
43	0.4538599099
44	0.4534537979
45	0.4531449587
46	0.4526680306
47	0.452261393
48	0.4516628919
49	0.4513582093
50	0.4505611772
51	0.4500621014
52	0.4497451362
53	0.449121875
54	0.4486133763
55	0.4484155144
56	0.4481371841
57	0.4476679998
58	0.4475721284
59	0.4473110543
60	0.4470617733
61	0.4468226486
62	0.446491427
63	0.4460871974
64	0.445855112
65	0.4456021697
66	0.4452911705
67	0.4450817897
68	0.4447151157
69	0.4445400004
70	0.4442503762
71	0.4440698151
72	0.4439442397
73	0.4437754476
74	0.4436345956
75	0.4433100351
76	0.4431572573
77	0.442791013
78	0.4426028769
79	0.4424671367
80	0.4423018175
81	0.4421311371
82	0.4418965727
83	0.4416080312
84	0.4414165163
85	0.4413014444
86	0.4411115876
87	0.4408958827
88	0.4406620663
89	0.4405265293
90	0.440434872
91	0.4401357229
92	0.4399969972
93	0.4397846321
94	0.4396947638
95	0.4396205802
96	0.4395777149
97	0.4394146511
98	0.4392637487
99	0.439110152
100	0.4389998099
101	0.4387768734
102	0.4386726766
103	0.4385466478
104	0.4383591524
105	0.4382127443
106	0.4380498179
107	0.437945321
108	0.4377103681
109	0.4376309765
110	0.4374830401
111	0.4373007415
112	0.4372501837
113	0.4371803745
114	0.4370219294
115	0.4368857393
116	0.4367292631
117	0.4365886575
118	0.4365296572
119	0.4364091416
120	0.4363306989
121	0.4362536018
122	0.4361224225
123	0.4359711339
124	0.435875255
125	0.4357126118
126	0.4355924691
127	0.4354639959
128	0.4353315373
129	0.4351329004
130	0.4350348505
131	0.4348938065
132	0.4348349716
133	0.4347209144
134	0.4345150047
135	0.4343760908
136	0.4342378497
137	0.4341784196
138	0.4341110266
139	0.4340282452
140	0.4339282287
141	0.4338137431
142	0.4336902446
143	0.4336673291
144	0.4336204009
145	0.4335153805
146	0.4334055306
147	0.4332819711
148	0.4332060739
149	0.4331438681
150	0.4329942321
151	0.432906735
152	0.4328790287
153	0.432800925
154	0.4326762457
155	0.4325954372
156	0.4325032947
157	0.4324298461
158	0.4323136464
159	0.4322952268
160	0.4322455867
161	0.4321675924
162	0.4320722873
163	0.4320301436
164	0.4319880644
165	0.431928744
166	0.4318809902
167	0.4318055698
168	0.4317563583
169	0.4317151517
170	0.4316078663
171	0.431543129
172	0.4313647543
173	0.4312542259
174	0.4311808399
175	0.4311242049
176	0.4310626234
177	0.4309394598
178	0.4308792492
179	0.4308515255
180	0.4307659755
181	0.4306929458
182	0.4306264733
183	0.43053121
184	0.4304957485
185	0.4304122991
186	0.4303270827
187	0.4302819598
188	0.4302422601
189	0.430188193
190	0.4301253793
191	0.4300875892
192	0.4300519737
193	0.4300026226
194	0.4299255494
195	0.4298844179
196	0.4297707955
197	0.4297388134
198	0.4296403182
199	0.429572583
200	0.4295286927
201	0.4294719843
202	0.4294318729
203	0.4292985393
204	0.4292296319
205	0.4290983636
206	0.429004625
207	0.4289447396
208	0.4289020205
209	0.4288586952
210	0.4288174928
211	0.4287937536
212	0.42867065
213	0.4286513375
214	0.4286370157
215	0.4285607952
216	0.4284773782
217	0.428412009
218	0.4283108208
219	0.4281728298
220	0.4280904808
221	0.428067996
222	0.4279750545
223	0.4279047921
224	0.4278163843
225	0.4277588161
226	0.4277126482
227	0.4276700799
228	0.4275686689
229	0.4275276842
230	0.4274867558
231	0.4274270888
232	0.4273698894
233	0.4273298711
234	0.4273074491
235	0.4272652514
236	0.4272371946
237	0.4271882454
238	0.4270783012
239	0.4270602305
240	0.4269909885
241	0.4269479394
242	0.4268367098
243	0.4267943756
244	0.4267150736
245	0.4266397462
246	0.4266084142
247	0.4265725448
248	0.4264946842
249	0.4264192844
250	0.4263628769
251	0.4263096999
252	0.4262717767
253	0.4262378123
254	0.4262010098
255	0.4261823437
256	0.4261073444
257	0.426033931
258	0.4259762301
259	0.4259729113
260	0.4259293674
261	0.4259082495
262	0.4258723246
263	0.4258520436
264	0.4258363851
265	0.4257671804
266	0.4256905035
267	0.425559168
268	0.4254924558
269	0.4253873855
270	0.4253525916
271	0.4253044165
272	0.4252590831
273	0.4252103151
274	0.4251791078
275	0.4251401998
276	0.4250938087
277	0.4250689318
278	0.425008561
279	0.4249779557
280	0.4249352019
281	0.4249068364
282	0.4248578138
283	0.4247777638
284	0.4246991813
285	0.4246739649
286	0.4246305069
287	0.4245679781
288	0.4245344042
289	0.4245192262
290	0.4244779496
291	0.4244298257
292	0.4244018657
293	0.4243674337
294	0.4243432834
295	0.4242643089
296	0.4242177491
297	0.4241896179
298	0.4241084296
299	0.4240732445
300	0.4240556162
301	0.4240091943
302	0.4239783469
303	0.4239280887
304	0.4239104027
305	0.4238737653
306	0.4238502161
307	0.423740702
308	0.4237133343
309	0.4236854969
310	0.4236644215
311	0.4236259575
312	0.4236024493
313	0.4235754773
314	0.4235592218
315	0.4235146498
316	0.4234704864
317	0.4234218303
318	0.4233891801
319	0.4233102934
320	0.4232764531
321	0.4232565566
322	0.4232087599
323	0.4231912158
324	0.4231610683
325	0.4230716723
326	0.4229988971
327	0.4229241834
328	0.4228851649
329	0.422833027
330	0.4227840188
331	0.422736794
332	0.4226574866
333	0.4225567708
334	0.4224696284
335	0.4224322351
